ticker,year,quarter,EBITMargin,ROA,ROE,ROIC,EPS,P/B,P/E,RevenueGrowth,GrossProfitGrowth,DebtToEquityRatio
AAV,2023,1,-0.03869727,-0.001734,-0.002447,-0.00090235,-48.4775197,0.62888785,-255.21455177,-0.2117883,-0.61946832,0.24083904
AAV,2023,2,-9.77689148,-0.01120537,-0.01531961,-0.00698744,-67.2134994,0.36681982,-23.73088604,-0.99766677,-0.99186291,0.10653049
AAV,2023,3,-8.04232121,-0.01795116,-0.02377332,-0.00065274,-57.14150839,0.35946972,-15.00009341,-0.99559543,-0.98018427,0.09688455
AAV,2023,4,-1.21314793,-0.01667714,-0.02267525,-0.01761789,-68.66458495,0.53829686,-23.62492448,-0.9632537,-0.91502279,0.0974823
AAV,2024,1,-2.86189107,-0.01806732,-0.02229246,-0.01927089,-48.07975387,0.58732256,-26.13030723,-0.98238719,-0.68308345,0.09146131
AAV,2024,2,-1.89861057,-0.01518649,-0.01872125,-0.01799591,-27.62797576,0.51406597,-27.29341302,2.73495787,6.58564724,0.09168709
AAV,2024,3,-5.11259457,-0.01299268,-0.01599581,-0.01710645,-27.09574166,0.64655655,-40.24073143,0.23033637,0.87367889,0.09191224
AAV,2024,4,-0.21196207,-0.01288862,-0.01620386,-0.01986969,-124.48457587,0.78692113,-36.51753844,7.8108385,-5.63330993,0.13071784
AAV,2025,1,0.00761013,-0.01336879,-0.01683189,-0.01912182,0.51115847,0.61623367,-36.37439406,48.88194856,4.4707331,0.13198482
AAV,2025,2,-0.0130119,-0.01214481,-0.01548699,-0.01662802,-12.71553354,0.56951763,-36.63346009,44.04653868,2.46287734,0.13881973
ADC,2023,1,0.02963682,0.095459,0.200256,0.23430672,439.37306332,0.91204391,4.75235248,0.30810023,0.13976895,
ADC,2023,2,0.04157621,0.102541,0.217832,0.25584737,851.41260493,1.09638943,4.77524122,0.25566442,0.25318626,
ADC,2023,3,0.03686546,0.09796361,0.22322105,0.08247222,1054.89508454,0.98996416,4.50514541,-0.07164568,0.36079212,
ADC,2023,4,0.04778151,0.08779554,0.18921257,0.26939698,1230.53747069,0.9175944,5.03118346,0.10120197,-0.29413801,
ADC,2024,1,0.0259927,0.0894515,0.19083014,0.26680061,460.60183145,1.04098637,5.8096756,0.00331598,0.02935935,
ADC,2024,2,0.03795806,0.08669386,0.18638088,0.28162612,831.04697336,1.06994088,5.59115043,-0.09710182,-0.03979873,
ADC,2024,3,0.03696145,0.08376901,0.18153888,0.30754382,1022.34874593,1.07532497,5.98103838,-0.00239193,0.01950686,
ADC,2024,4,0.04975774,0.08283102,0.17320885,0.25018108,1195.84837891,1.03774033,6.18260757,-0.08189025,-0.06052739,
ADC,2025,1,0.02386138,0.07905117,0.1694542,0.22825036,365.01413044,0.9400337,5.85778774,-0.20877958,-0.07453099,
ADC,2025,2,0.0106227,0.06931771,0.14641027,0.16813872,395.16340761,0.99645452,6.51361974,-0.28359325,-0.27317715,
ALT,2023,1,0.0377489,0.028135,0.038912,0.03073401,360.20017827,0.3418945,8.86958983,0.46308381,0.10731531,0.12633955
ALT,2023,2,0.02276429,0.03515056,0.04876648,0.00796662,552.91340899,0.33951627,7.07176009,0.32924109,0.15186528,0.09936462
ALT,2023,3,-0.01845666,0.02834556,0.03921538,0.00504824,126.67132225,0.34543179,8.93561319,-0.07460918,-0.08753047,0.11338445
ALT,2023,4,0.01640167,0.021968,0.03192,0.01582222,365.78722752,0.46820819,14.71068396,0.00215001,-0.01258602,0.1678581
ALT,2024,1,-0.05047639,0.00981357,0.01418889,-0.00739283,-534.00437876,0.35143463,24.17233217,0.29948008,-0.52064806,0.20989907
ALT,2024,2,0.01000345,0.00287847,0.00438177,-0.00540385,198.35501723,0.38337026,86.53293869,0.33171822,0.00642438,0.18983886
ALT,2024,3,-0.01115649,-0.00193948,-0.00316093,0.01378015,-141.528967,0.37819356,-116.80935951,0.11172249,-0.18543794,0.10776649
ALT,2024,4,0.05902452,0.00924104,0.01453599,0.00980314,752.62568564,0.31235409,21.20891942,0.61826766,1.3888038,0.14913683
ALT,2025,1,-0.00353636,0.01139662,0.01979742,0.01758785,-118.50249695,0.32225962,12.01535584,-0.07346781,0.93830713,0.22237155
ALT,2025,2,0.02145496,0.01772912,0.03065383,0.0305185,337.72933499,0.31955119,10.62084521,0.0490487,0.19347541,0.21647564
AMC,2023,1,0.05246831,0.071635,0.112566,0.13470319,417.81854667,1.19208969,10.89968988,-0.16641311,-0.21942726,0.07118529
AMC,2023,2,0.06630189,0.067413,0.104331,0.12986383,657.97073228,1.06675638,9.83811954,-0.21054218,-0.27290303,0.07178623
AMC,2023,3,0.060648,0.068251,0.104757,0.12600999,708.22932281,1.00640047,9.6343778,-0.02527813,-0.15045066,0.0245581
AMC,2023,4,0.04113217,0.08398626,0.12719815,0.03932125,473.45432561,1.05219449,8.36872237,-0.04310594,-0.17038444,0.01982796
AMC,2024,1,0.04147537,0.08667735,0.13308862,0.13836941,512.84442842,0.87684623,6.88629467,0.22099526,0.14834177,0.01275134
AMC,2024,2,0.05036742,0.08113912,0.12684221,0.12730919,569.32134035,0.95613504,7.37681573,0.15305414,0.07244063,0.10317639
AMC,2024,3,0.06446243,0.07544862,0.12076689,0.12370067,617.78899649,0.8847629,7.36170658,-0.01064756,-0.05931284,0.14764097
AMC,2024,4,0.03684707,0.06857712,0.11889491,0.10968004,470.90607684,0.8676978,7.41641274,0.03187871,0.06573808,0.26970196
AMC,2025,1,0.04110968,0.06301752,0.11550229,0.10482325,453.16193298,0.88383797,7.9576413,0.09607201,0.1018677,0.35718882
AMC,2025,2,0.0489406,0.05839822,0.11287263,0.09970373,535.58270386,0.94025361,8.13501346,0.04425549,0.05805539,0.30376347
AME,2023,1,0.04497575,0.007743,0.026919,0.04811613,62.11868853,0.7877363,26.51707592,-0.62654277,-0.09507444,0.74652003
AME,2023,2,0.04976715,0.007018,0.020659,0.04315804,54.84775006,0.7335069,35.77569778,0.23528375,-0.22747798,0.75284297
AME,2023,3,0.03709584,0.00631993,0.01695219,0.0131507,7.19825017,0.70778401,41.92256686,1.11913727,-0.00938188,0.65451537
AME,2023,4,0.03430231,0.0090954,0.02730593,0.0124609,200.95118534,0.6131422,22.76111562,0.87446897,0.24669565,1.28050035
AME,2024,1,0.04269305,0.00778612,0.02315885,0.04390096,14.22018023,0.48000535,20.92221021,0.08318414,0.04138203,1.57461547
AME,2024,2,0.03423291,0.00867702,0.02731905,0.04783947,106.89530666,0.41016911,15.18534062,1.7461923,0.60974211,1.57134452
AME,2024,3,0.04419737,0.00803757,0.02702383,0.04355109,5.95978288,0.39307585,14.63296611,-0.07765335,0.14657428,1.57983435
AME,2024,4,0.03243512,0.00796627,0.02874716,0.05052869,225.07877066,0.40266869,14.36048763,0.54852843,0.3918478,1.54084794
AME,2025,1,0.02539876,0.00748916,0.02912292,0.04598229,21.10824532,0.66729567,23.11706586,1.33071586,0.36317277,2.35521628
AME,2025,2,0.04976331,0.00988706,0.04042425,0.05330717,251.27121544,0.71712632,18.07642901,0.18050682,0.70419553,1.63248658
AMV,2023,1,0.17792044,0.022735,0.028094,0.03801897,25.81960861,0.41596235,14.80751998,-0.09986911,0.05855927,0.10165314
AMV,2023,2,0.11788815,0.0065658,0.00811817,0.01755328,14.06741858,0.30957753,38.22700008,-0.30640939,-0.73315887,0.10134034
AMV,2023,3,0.21789326,0.00596755,0.00737469,0.00088211,37.15127147,0.31676558,43.10258083,-0.44887959,0.01655031,0.09871862
AMV,2023,4,0.14827385,0.00694542,0.00859768,0.01718692,30.96185273,0.26741889,31.34353133,-0.23052561,0.00877093,0.09880236
AMV,2024,1,0.0991246,0.00623643,0.00763166,0.01549509,11.83626257,0.24287512,31.90918888,0.07004063,-0.37369866,0.09348466
AMV,2024,2,-0.41064798,-0.05039869,-0.06151833,-0.0436579,-826.2928334,0.14749603,-2.27777173,-0.35369083,-1.075054,0.09377516
AMV,2024,3,8.73229846,-0.03040156,-0.03709735,-0.02209714,337.58850903,0.13486947,-3.58819852,-0.89215559,-1.17682229,0.0941666
AMV,2024,4,0.28264869,0.00240811,0.00293383,0.00508203,511.43588513,0.16159726,55.16153066,3.90963206,1.54888114,0.08924173
AMV,2025,1,0.0367409,-4.706e-05,-5.744e-05,-0.03374533,-23.42257021,0.16190366,2.91480408,0.38341891,-0.04819795,0.0894057
AMV,2025,2,-0.83779572,0.03545834,0.04328894,0.04482107,-300.53041462,0.16771428,3.80900572,0.07981911,4.30492911,0.09161375
API,2023,1,0.21527634,0.030446,0.083099,0.02741463,52.58901362,0.6174318,7.70518472,-0.78860574,-0.70346855,0.74407953
API,2023,2,-0.14635493,0.02431,0.063991,0.00066029,-169.00599157,0.49425256,7.7659435,-0.85246476,-0.8558776,0.73466831
API,2023,3,-0.15799062,0.01160727,0.02929225,0.01493309,-208.65887129,0.48554248,16.2399407,-0.64693149,-0.74699827,0.74029659
API,2023,4,-0.19693322,-0.023167,-0.059748,-0.00698407,-254.74372866,0.38024305,-6.17395859,-0.32353849,1.84200025,0.74613338
API,2024,1,-0.15263867,-0.02812793,-0.07028415,-0.01875588,-140.0352504,0.70471886,-9.70944371,-0.43929455,-0.74299191,0.75900391
API,2024,2,0.03404708,-0.02820407,-0.06979992,-0.01451863,-149.08237881,0.73379042,-10.23228307,0.44979613,0.84446341,0.69153503
API,2024,3,0.05045059,-0.02384346,-0.05875352,-0.00815639,-79.17744867,0.71056267,-11.8772698,-0.11862382,0.16694642,0.74313245
API,2024,4,0.26490866,-0.0099991,-0.02487508,0.01736502,136.12185549,0.52293027,-20.76078682,0.56284774,4.02354906,0.75464929
API,2025,1,0.04132162,-0.00814524,-0.01980031,0.03069178,-82.32658789,0.99661458,-50.18969307,0.77510026,1.89463222,0.74750615
API,2025,2,0.22624622,0.0008894,0.00215687,0.00359661,80.71571866,0.85583516,398.50801874,0.38854208,0.71584661,0.71477646
APS,2023,1,0.29557432,-0.437514,-0.444562,-0.5179532,362.17608449,0.54426617,-1.16296727,0.23530817,-0.33078904,0.00467191
APS,2023,2,-0.70806541,-0.283564,-0.287591,-0.33459909,-2007.04223625,0.66427503,-1.95729092,3.16213961,1.02682674,0.00561566
APS,2023,3,-0.84845361,-0.35271482,-0.35838319,-0.05024404,-383.53316039,0.67000899,-1.66012917,-0.74248567,-3.60805147,0.00584114
APS,2023,4,-0.18226113,-0.19255367,-0.19644891,-0.00022908,-43.10669534,0.56306213,-2.44499427,-0.66330156,1.01949247,0.00586762
APS,2024,1,0.38653537,-0.23766239,-0.24263138,-0.30047905,97.90163451,0.74652624,-3.03966924,-0.81145033,-0.74849882,0.00586656
APS,2024,2,0.22020927,-0.00031012,-0.00031628,-0.00031464,325.70132398,0.69130852,-2239.12745892,-0.33539849,2.38181785,0.00567231
APS,2024,3,0.42725865,0.0556929,0.05665144,0.06603409,169.90741755,0.60961436,11.08277472,-0.11103676,1.61397812,0.00557599
APS,2024,4,,0.02699791,0.02756821,0.03214864,-330.3890194,0.55812456,20.57582798,,,
APS,2025,1,-1.31125504,-0.01374778,-0.01392013,-0.01593752,-300.56991608,1.06670198,-73.88242091,-0.0168999,-3.60462053,
APS,2025,2,-0.19589523,-0.05604464,-0.05665709,-0.06524574,-82.14129837,1.21602811,-20.80292607,-0.71248818,-1.1022567,
ARM,2023,1,0.0226783,0.022677,0.07836,0.07825153,252.54743461,2.50744895,33.05584077,0.55373564,0.39724456,0.1090282
ARM,2023,2,0.05711938,0.029129,0.109575,0.10549963,543.59901494,2.25679224,20.7322793,-0.14620831,0.23407288,0.09403683
ARM,2023,3,0.06082055,0.03816566,0.15120437,0.04679834,702.04472399,1.80156204,12.43120808,-0.09871866,0.2409956,0.09939869
ARM,2023,4,0.00131223,0.02631928,0.11003771,0.02165205,-203.24512299,2.67775221,25.63551636,0.37122163,-0.06445287,1.57350421
ARM,2024,1,0.02389963,0.02677135,0.12268929,0.11842086,440.97919283,2.15787109,18.13428773,1.20001411,0.33970726,1.06452742
ARM,2024,2,0.03745769,0.02397243,0.1069784,0.10728704,356.27455297,2.14346402,19.28932946,0.26332441,-0.14531135,0.51138692
ARM,2024,3,0.03561897,0.01795679,0.08080416,0.08493813,380.42964173,2.55733386,31.60795416,0.2682617,-0.06115555,0.93067632
ARM,2024,4,0.01565584,0.0272739,0.1255873,0.09546208,356.04183419,2.27422382,18.38660511,0.67603587,0.42037681,0.83353987
ARM,2025,1,0.03340495,0.029626,0.12393305,0.13605239,423.26788466,2.19915572,18.60141239,-0.47275358,-0.12109848,0.40342882
ARM,2025,2,0.02332766,0.03328589,0.13635583,0.12414271,558.04492134,2.14865462,16.4164967,0.50170475,0.17996818,0.7476149
ATS,2023,1,0.00462385,0.005351,0.005983,0.01355652,9.19706771,1.09234754,182.97883195,0.13305423,-0.64852718,
ATS,2023,2,0.00696374,0.006879,0.007717,0.00976372,22.14144886,0.90462319,117.48023724,0.11828729,-0.70724535,
ATS,2023,3,0.00654835,0.005324,0.005988,0.00737359,19.97822114,1.59666812,267.25394557,0.19193662,-0.13226178,
ATS,2023,4,0.00479481,0.00468218,0.00532724,0.00508573,14.64773257,0.92626365,174.3362745,0.09719023,0.14452097,
ATS,2024,1,0.02293631,0.00405838,0.00462995,0.00738882,0.659324,1.53026738,330.85639971,0.09399275,0.55721281,
ATS,2024,2,0.02910566,0.00364295,0.00420244,0.00952325,16.89377771,1.41558475,337.30008822,0.07809938,0.67521216,
ATS,2024,3,0.00598107,0.00358063,0.00409733,0.00946037,18.72530657,1.17252596,286.68969911,0.01264311,-0.1621882,
ATS,2024,4,0.00639387,0.00402425,0.00456313,0.01010619,20.50451057,1.01024238,221.89771595,0.05123429,-0.09709008,
ATS,2025,1,0.01248563,0.0061069,0.00681227,0.01060571,28.7881,1.35988658,200.20799288,-0.07306973,-0.16145666,
ATS,2025,2,0.01538902,0.00792217,0.00869358,0.00893121,40.57944571,1.43522106,165.74988127,-0.04470489,0.05455544,
BAB,2023,1,,,,,,,,,,
BAB,2023,2,,,,,,,,,,
BAB,2023,3,,,,,,,,,,
BAB,2023,4,,,,,,,,,,
BAB,2024,1,,,,,,,,,,
BAB,2024,2,,,,,,,,,,
BAB,2024,3,,,,,,,,,,
BAB,2024,4,,,,,,,,,,
BAB,2025,1,,,,,,,,,,
BAB,2025,2,,,,,,,,,,
BAX,2023,1,0.07231184,0.022863,0.073095,0.01064382,201.66870317,2.09642725,28.50100638,-0.90315568,-0.90156484,
BAX,2023,2,0.38512669,0.032305,0.104247,0.02542599,1888.42835,1.90318485,16.59899635,-0.12978102,0.39942799,
BAX,2023,3,0.15764775,0.024358,0.079644,0.02247654,290.11044463,1.58121443,18.81593515,-0.21150402,-0.25059284,
BAX,2023,4,0.09233943,0.038545,0.126239,0.05991457,1127.88176744,1.61543066,11.8298016,-0.074128,1.1578072,
BAX,2024,1,0.31709805,0.04514165,0.15400985,0.07409512,706.72763171,1.64931814,10.56527144,0.11485729,0.6188739,
